ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE	COMMENTS/TICKET	AI
subarachnoid haemorrhage	subarachnoid hemorrhage	EFO_0000713	Exact	20002_1086	DONE	
leg claudication/ intermittent claudication	intermittent vascular claudication	EFO_0003876	Exact	20002_1087	DONE	
pulmonary embolism +/- dvt	pulmonary embolism	EFO_0003827	Exact	20002_1093	DONE	
deep venous thrombosis (dvt)	deep vein thrombosis	EFO_0003907	Exact	20002_1094	DONE	
asthma	asthma	EFO_0000270	Exact	20002_1111	DONE	
chronic obstructive airways disease/copd	chronic obstructive pulmonary disease	EFO_0000341	Exact	20002_1112	DONE	
emphysema/chronic bronchitis	emphysema	EFO_0000464	Exact	20002_1113	DONE	
bronchiectasis	bronchiectasis	HP_0002110	Exact	20002_1114	DONE	
interstitial lung disease	interstitial lung disease	EFO_0004244	Exact	20002_1115	DONE	
asbestosis	asbestosis	EFO_0007153	Exact	20002_1120	DONE	
pulmonary fibrosis	pulmonary fibrosis	EFO_0009448	Exact	20002_1121	DONE	
fibrosing alveolitis/unspecified alveolitis	pulmonary alveolitis	EFO_0009624	Exact	20002_1122	DONE	
sleep apnoea	sleep apnea	EFO_0003877	Exact	20002_1123	DONE	
pleurisy	pleurisy	EFO_1001825	Exact	20002_1125	DONE	
spontaneous pneumothorax/recurrent pneumothorax	spontaneous pneumothorax	HP_0002108	Exact	20002_1126	DONE	
gastro-oesophageal reflux (gord) / gastric reflux	gastroesophageal reflux disease	EFO_0003948	Exact	20002_1138	DONE	
oesophagitis/barretts oesophagus	esophagitis  || Barrett's esophagus	HP_0100633, EFO_0000280	Exact	20002_1139	DONE	
gastric/stomach ulcers	peptic ulcer	HP_0004398	Exact	20002_1142	DONE	
gastritis/gastric erosions	gastritis	EFO_0000217	Exact	20002_1143	DONE	
irritable bowel syndrome	irritable bowel syndrome	EFO_0000555	Exact	20002_1154	DONE	
hepatitis	hepatitis	HP_0012115	Exact	20002_1155	DONE	
infective/viral hepatitis	viral human hepatitis infection	EFO_0004196	Exact	20002_1156	DONE	
liver failure/cirrhosis	cirrhosis of liver	EFO_0001422	Exact	20002_1158	DONE	
gall bladder disease	gallbladder disease	EFO_0003832	Exact	20002_1161	DONE	
cholelithiasis/gall stones	gallstones  || cholelithiasis	EFO_0004210, EFO_0004799	Exact	20002_1162	DONE	
cholecystitis	cholecystitis	HP_0001082	Exact	20002_1163	DONE	
pancreatitis	pancreatitis	EFO_0000278	Exact	20002_1165	DONE	
peritonitis	peritonitis	EFO_0008588	Exact	20002_1190	DONE	
gastrointestinal bleeding	gastrointestinal hemorrhage	HP_0002239	Exact	20002_1191	DONE	
renal/kidney failure	kidney failure	EFO_1002048	Exact	20002_1192	DONE	
urinary tract infection/kidney infection	urinary tract infection	EFO_0003103	Exact	20002_1196	DONE	
kidney stone/ureter stone/bladder stone	nephrolithiasis  || ureterolithiasis  || bladder calculus	EFO_0004253, EFO_1001228, EFO_1000839	Exact	20002_1197	DONE	
ureteric obstruction/hydronephrosis	hydronephrosis	EFO_0005562	Exact	20002_1200	DONE	
urinary frequency / incontinence	urgency urinary incontinence	EFO_0006865	Exact	20002_1202	DONE	
diabetes	diabetes	EFO_0000400	Exact	20002_1220	DONE	
gestational diabetes	gestational diabetes	EFO_0004593	Exact	20002_1221	DONE	
type 1 diabetes	type i diabetes mellitus	EFO_0001359	Exact	20002_1222	DONE	
type 2 diabetes	type ii diabetes mellitus	EFO_0001360	Exact	20002_1223	DONE	
hyperthyroidism/thyrotoxicosis	hyperthyroidism  || thyrotoxicosis	EFO_0009189, EFO_0009190	Exact	20002_1225	DONE	
hypothyroidism/myxoedema	hypothyroidism  || myxedema	EFO_0004705, EFO_1001055	Exact	20002_1226	DONE	
parathyroid hyperplasia/adenoma	parathyroid hyperplasia	EFO_1000457	Exact	20002_1230	DONE	
pituitary adenoma/tumour	pituitary gland adenoma	EFO_1000478	Exact	20002_1238	DONE	
encephalitis	encephalomyelitis	EFO_0001423	Exact	20002_1246	DONE	
bell's palsy/facial nerve palsy	Bell's palsy	EFO_0007167	Exact	20002_1250	DONE	
peripheral neuropathy	peripheral neuropathy	EFO_0003100	Exact	20002_1255	DONE	
acute infective polyneuritis/guillain-barre syndrome	Guillain-Barre syndrome	EFO_0007292	Exact	20002_1256	DONE	
multiple sclerosis	multiple sclerosis	EFO_0003885	Exact	20002_1261	DONE	
parkinsons disease	Parkinson's disease	EFO_0002508	Exact	20002_1262	DONE	
dementia/alzheimers/cognitive impairment	dementia  || Alzheimer's disease  || cognitive impairment	HP_0000726, EFO_0000249, HP_0100543	Exact	20002_1263	DONE	
epilepsy	epilepsy	EFO_0000474	Exact	20002_1264	DONE	
migraine	migraine disorder	EFO_0003821	Exact	20002_1265	DONE	
spinal injury	spinal cord injury	EFO_1001919	Exact	20002_1267	DONE	
eye infection	eye infection	EFO_1001888	Exact	20002_1274	DONE	
retinal problem	retinopathy	EFO_0003839	Exact	20002_1275	DONE	
glaucoma	glaucoma	EFO_0000516	Exact	20002_1277	DONE	
cataract	cataract	EFO_0001059	Exact	20002_1278	DONE	
retinal detachment	retinal detachment	EFO_0005773	Exact	20002_1281	DONE	
retinal artery/vein occlusion	retinal artery occlusion  || retinal vein occlusion	EFO_1001154, EFO_1001157	Exact	20002_1282	DONE	
depression	unipolar depression	EFO_0003761	Narrow	20002_1286	DONE	
schizophrenia	schizophrenia	EFO_0000692	Exact	20002_1289	DONE	
deliberate self-harm/suicide attempt	attempted suicide	EFO_0004321	Exact	20002_1290	DONE	
mania/bipolar disorder/manic depression	bipolar disorder	EFO_0000289	Exact	20002_1291	DONE	
bone disorder	bone disease	EFO_0004260	Exact	20002_1293	DONE	
joint disorder	joint disease	EFO_1000999	Exact	20002_1295	DONE	
osteomyelitis	osteomyelitis	EFO_0003102	Exact	20002_1308	DONE	
osteoporosis	osteoporosis	EFO_0003882	Exact	20002_1309	DONE	
ankylosing spondylitis	ankylosing spondylitis	EFO_0003898	Exact	20002_1313	DONE	
myositis/myopathy	myositis  || myopathy	EFO_0000783, EFO_0004145	Exact	20002_1322	DONE	
low platelets/platelet disorder	thrombocytopenia	HP_0001873	Exact	20002_1327	DONE	
iron deficiency anaemia	iron deficiency anemia	HP_0001891	Exact	20002_1330	DONE	
pernicious anaemia	pernicious anemia	EFO_0005576	Exact	20002_1331	DONE	
thalassaemia	thalassemia	EFO_1001996	Exact	20002_1340	DONE	
ovarian cyst or cysts	ovarian cyst	HP_0000138	Exact	20002_1349	DONE	
polycystic ovaries/polycystic ovarian syndrome	polycystic ovary syndrome	EFO_0000660	Exact	20002_1350	DONE	
uterine fibroids	uterine fibroid	EFO_0000731	Exact	20002_1351	DONE	
vaginal prolapse/uterine prolapse	uterine prolapse	EFO_1001864	Exact	20002_1353	DONE	
fibrocystic disease	breast fibrocystic disease	EFO_0003014	Exact	20002_1366	DONE	
breast cysts	breast cyst	EFO_1000848	Exact	20002_1367	DONE	
sarcoidosis	sarcoidosis	Orphanet_797	Exact	20002_1371	DONE	
vasculitis	vasculitis	EFO_0006803	Exact	20002_1372	DONE	
connective tissue disorder	connective tissue disease	EFO_1001986	Exact	20002_1373	DONE	
allergy/hypersensitivity/anaphylaxis	allergy	EFO_0003785	Broad	20002_1374	DONE	
giant cell/temporal arteritis	temporal arteritis	EFO_1001209	Exact	20002_1376	DONE	
polymyalgia rheumatica	polymyalgia rheumatica	EFO_0008518	Exact	20002_1377	DONE	
wegners granulmatosis	granulomatosis with polyangiitis	EFO_0005297	Exact	20002_1378	DONE	
systemic lupus erythematosis/sle	systemic lupus erythematosus	EFO_0002690	Exact	20002_1381	DONE	
sjogren's syndrome/sicca syndrome	Sjogren syndrome	EFO_0000699	Exact	20002_1382	DONE	
scleroderma/systemic sclerosis	scleroderma  || systemic scleroderma	EFO_1001993, EFO_0000717	Exact	20002_1384	DONE	
allergy or anaphylactic reaction to food	food allergy	EFO_1001890	Exact	20002_1385	DONE	
hayfever/allergic rhinitis	seasonal allergic rhinitis  || allergic rhinitis	EFO_0003956, EFO_0005854	Exact	20002_1387	DONE	
pneumonia	pneumonia	EFO_0003106	Exact	20002_1398	DONE	
peptic ulcer	peptic ulcer	HP_0004398	Exact	20002_1400	DONE	
endometriosis	endometriosis	EFO_0001065	Exact	20002_1402	DONE	
female infertility	female infertility	EFO_0008560	Exact	20002_1403	DONE	
alcohol dependency	alcohol dependence	EFO_0003829	Exact	20002_1408	DONE	
ear/vestibular disorder	auditory system disease	EFO_1001455	Broad	20002_1415	DONE	
chronic sinusitis	sinusitis	EFO_0007486	Broad	20002_1416	DONE	
nasal polyps	nasal cavity polyp	EFO_1000391	Exact	20002_1417	DONE	
otosclerosis	otosclerosis	EFO_0004213	Exact	20002_1420	DONE	
meniere's disease	Meniere disease	EFO_0006862	Exact	20002_1421	DONE	
cerebral aneurysm	brain aneurysm	EFO_0003870	Exact	20002_1425	DONE	
myocarditis	myocarditis	EFO_0009609	Exact	20002_1426	DONE	
polycystic kidney	polycystic kidney disease	EFO_0008620	Exact	20002_1427	DONE	
thyroiditis	thyroid disease	EFO_1000627	Exact	20002_1428	DONE	
hypopituitarism	hypopituitarism	EFO_0001380	Exact	20002_1430	DONE	
cerebral palsy	cerebral palsy	EFO_1000632	Exact	20002_1433	DONE	
optic neuritis	optic neuritis	EFO_0007405	Exact	20002_1435	DONE	
headaches (not migraine)	headache	HP_0002315	Exact	20002_1436	DONE	
myasthenia gravis	myasthenia gravis	EFO_0004991	Exact	20002_1437	DONE	
polycythaemia vera	polycythemia vera	EFO_0002429	Exact	20002_1438	DONE	
hiv/aids	HIV infection  || AIDS	EFO_0000764, EFO_0000765	Exact	20002_1439	DONE	
tuberculosis (tb)	tuberculosis	Orphanet_3389	Exact	20002_1440	DONE	
malaria	malaria	EFO_0001068	Exact	20002_1441	DONE	
helicobacter pylori	Helicobacter pylori	NCBITaxon_210	Exact	20002_1442	DONE	
anaemia	anemia	EFO_0004272	Exact	20002_1446	DONE	
neutropenia/lymphopenia	neutropenia  || lymphopenia	HP_0001875, HP_0001888	Exact	20002_1448	DONE	
eczema/dermatitis	eczema	HP_0000964	Exact	20002_1452	DONE	
psoriasis	psoriasis	EFO_0000676	Exact	20002_1453	DONE	
chronic skin ulcers	chronic ulcer of skin	EFO_0007066	Exact	20002_1455	DONE	
malabsorption/coeliac disease	celiac disease	EFO_0001060	Exact	20002_1456	DONE	
duodenal ulcer	duodenal ulcer	EFO_0004607	Exact	20002_1457	DONE	
diverticular disease/diverticulitis	diverticulitis	EFO_1001460	Exact	20002_1458	DONE	
colitis/not crohns or ulcerative colitis	colitis	EFO_0003872	Exact	20002_1459	DONE	
rectal or colon adenoma/polyps	adenomatous colon polyp	EFO_1000633	Exact	20002_1460	DONE	
inflammatory bowel disease	inflammatory bowel disease	EFO_0003767	Exact	20002_1461	DONE	
crohns disease	Crohn's disease	EFO_0000384	Exact	20002_1462	DONE	
ulcerative colitis	ulcerative colitis	EFO_0000729	Exact	20002_1463	DONE	
rheumatoid arthritis	rheumatoid arthritis	EFO_0000685	Exact	20002_1464	DONE	
osteoarthritis	osteoarthritis	EFO_0002506	Exact	20002_1465	DONE	
gout	gout	EFO_0004274	Exact	20002_1466	DONE	
post-traumatic stress disorder	post-traumatic stress disorder	EFO_0001358	Exact	20002_1469	DONE	
anorexia/bulimia/other eating disorder	eating disorder	EFO_0005203	Broad	20002_1470	DONE	
atrial fibrillation	atrial fibrillation	EFO_0000275	Exact	20002_1471	DONE	
emphysema	emphysema	EFO_0000464	Exact	20002_1472	DONE	
high cholesterol	hypercholesterolemia	HP_0003124	Exact	20002_1473	DONE	
hiatus hernia	hiatus hernia	HP_0002036	Exact	20002_1474	DONE	
sciatica	sciatica	HP_0011868	Exact	20002_1476	DONE	
psoriatic arthropathy	psoriatic arthritis	EFO_0003778	Exact	20002_1477	DONE	
rheumatic fever	rheumatic fever	EFO_1001160	Exact	20002_1479	DONE	
chronic fatigue syndrome	chronic fatigue syndrome	EFO_0004540	Exact	20002_1482	DONE	
irregular heart beat	cardiac arrhythmia	EFO_0004269	Exact	20002_1485	DONE	
brain haemorrhage	intracranial hemorrhage	EFO_0000551	Exact	20002_1491	DONE	
varicose veins	varicose veins	HP_0002619	Exact	20002_1494	DONE	
lymphoedema	lymphedema	Orphanet_79383	Exact	20002_1495	DONE	
pneumothorax	pneumothorax	HP_0002107	Exact	20002_1497	DONE	
labyrinthitis	labyrinthitis	EFO_0009604	Exact	20002_1499	DONE	
vertigo	vertigo	HP_0002321	Exact	20002_1500	DONE	
pyloric stenosis	pyloric stenosis	EFO:0009626	Exact	20002_1501	DONE	
appendicitis	appendicitis	EFO_0007149	Exact	20002_1502	DONE	
anal fissure	anal fissure	HP_0012390	Exact	20002_1504	DONE	
haemorrhoids / piles	hemorrhoid	EFO_0009552	Exact	20002_1505	DONE	
jaundice (unknown cause)	jaundice	HP_0000952	Exact	20002_1508	DONE	
gastroenteritis/dysentry	gastroenteritis  || dysentery	EFO_1001463, EFO_1001869	Exact	20002_1509	DONE	
dyspepsia / indigestion	dyspepsia	EFO_0008533	Exact	20002_1510	DONE	
abdominal hernia	hernia of the abdominal wall	HP_0004299	Exact	20002_1511	DONE	
umbilical hernia	umbilical hernia	HP_0001537	Exact	20002_1512	DONE	
inguinal hernia	inguinal hernia	HP_0000023	Exact	20002_1513	DONE	
cystitis	cystitis	EFO_1000025	Exact	20002_1514	DONE	
bph / benign prostatic hypertrophy	benign prostatis hypertrophy	EFO_0000284	Exact	20002_1516	DONE	
prostatitis	prostatitis	EFO_0003830	Exact	20002_1517	DONE	
erectile dysfunction / impotence	erectile dysfunction	EFO_0004234	Exact	20002_1518	DONE	
grave's disease	Graves disease	EFO_0004237	Exact	20002_1522	DONE	
trigemminal neuralgia	trigeminal neuralgia	EFO_1001219	Exact	20002_1523	DONE	
benign / essential tremor	essential tremor	EFO_0003108	Exact	20002_1525	DONE	
polio / poliomyelitis	poliomyelitis	EFO_0007450	Exact	20002_1526	DONE	
dry eyes	dry eye syndrome	EFO_1000906	Exact	20002_1529	DONE	
iritis	iritis	EFO_1000997	Exact	20002_1530	DONE	
post-natal depression	postpartum depression	EFO_0007453	Exact	20002_1531	DONE	
disc degeneration	lumbar disc degeneration	EFO_0004994	Exact	20002_1533	DONE	
back pain	back pain	HP_0003418	Exact	20002_1534	DONE	
scoliosis	scoliosis	EFO_0004273	Exact	20002_1535	DONE	
spinal stenosis	spinal stenosis	EFO_0007490	Exact	20002_1536	DONE	
joint pain	arthralgia	HP_0002829	Exact	20002_1537	DONE	
arthritis (nos)	arthritis	EFO_0005856	Exact	20002_1538	DONE	
plantar fascitis	plantar fasciitis	EFO_1001909	Exact	20002_1540	DONE	
carpal tunnel syndrome	carpal tunnel syndrome	EFO_0004143	Exact	20002_1541	DONE	
fibromyalgia	fibromyalgia	EFO_0005687	Exact	20002_1542	DONE	
dupuytren's contracture	Dupuytren contracture	EFO_0004229	Exact	20002_1544	DONE	
acne/acne vulgaris	acne	EFO_0003894	Exact	20002_1548	DONE	
lichen planus	lichen planus	EFO_1000726	Exact	20002_1549	DONE	
lichen sclerosis	lichen disease	EFO_1000724	Broad	20002_1550	DONE	
cervical intra-epithelial neoplasia (cin) / precancerous cells cervix	dysplasia of cervix	EFO_1000910	Exact	20002_1554	DONE	
menorrhagia (unknown cause)	menorrhagia	HP_0000132	Exact	20002_1556	DONE	
ectopic pregnancy	ectopic pregnancy	HP_0031456	Exact	20002_1558	DONE	
miscarriage	spontaneous abortion	EFO_1001255	Broad	20002_1559	DONE	
breast fibroadenoma	Fibroadenoma	EFO_1000254	Exact	20002_1560	DONE	
raynaud's phenomenon/disease	Raynaud disease	EFO_1001145	Exact	20002_1561	DONE	
food intolerance	food allergy	EFO_1001890	Exact	20002_1562	DONE	
urticaria	urticaria	EFO_0005531	Exact	20002_1563	DONE	
infectious mononucleosis / glandular fever / epstein barr virus (ebv)	infectious mononucleosis  || Epstein-Barr virus infection	EFO_0007326, EFO_0000769	Exact	20002_1567	DONE	
measles / morbillivirus	measles	EFO_1002025	Exact	20002_1568	DONE	
mumps / epidemic parotitis	mumps infectious disease	EFO_0007383	Exact	20002_1569	DONE	
rubella / german measles	rubella	EFO_1002026	Exact	20002_1570	DONE	
chickenpox	chickenpox	EFO_0007204	Exact	20002_1571	DONE	
whooping cough / pertussis	whooping cough	EFO_0000650	Exact	20002_1572	DONE	
shingles	Herpes Zoster	EFO_0006510	Exact	20002_1573	DONE	
herpes simplex	herpes simplex infection	EFO_1002022	Exact	20002_1575	DONE	
hepatitis a	hepatitis a	EFO_0007305	Exact	20002_1578	DONE	
hepatitis b	hepatitis b infection	EFO_0004197	Exact	20002_1579	DONE	
hepatitis c	hepatitis c infection	EFO_0003047	Exact	20002_1580	DONE	
mitral regurgitation / incompetence	mitral valve disease	EFO_0009557	Broad	20002_1585	DONE	
aortic regurgitation / incompetence	aortic valve insufficiency	EFO_0007148	Exact	20002_1587	DONE	
hypertrophic cardiomyopathy (hcm / hocm)	hypertrophic cardiomyopathy	EFO_0000538	Exact	20002_1588	DONE	
pericarditis	pericarditis	EFO_0007427	Exact	20002_1589	DONE	
respiratory infection	pneumonia	EFO_0003106	Narrow	20002_1594	DONE	
tinnitus / tiniitis	tinnitus	HP_0000360	Exact	20002_1597	DONE	
tonsiltis	tonsillitis	HP_0011110	Exact	20002_1598	DONE	
constipation	constipation	HP_0002019	Exact	20002_1599	DONE	
rectal prolapse	rectal prolapse	HP_0002035	Exact	20002_1603	DONE	
femoral hernia	femoral hernia	EFO_1001791	Exact	20002_1605	DONE	
incisional hernia	incisional hernia	HP_0004872	Exact	20002_1606	DONE	
nephritis	nephritis	EFO_1002050	Exact	20002_1608	DONE	
thyroid goitre	goiter	EFO_0004283	Exact	20002_1610	DONE	
blepharitis / eyelid infection	blepharitis	EFO_0009536	Exact	20002_1613	DONE	
obsessive compulsive disorder (ocd)	obsessive-compulsive disorder	EFO_0004242	Exact	20002_1615	DONE	
insomnia	insomnia	EFO_0004698	Exact	20002_1616	DONE	
osteopenia	osteopenia	HP_0000938	Exact	20002_1617	DONE	
tendonitis / tendinitis / tenosynovitis	tendinopathy  || tenosynovitis	EFO_1001434, EFO_1001435	Exact	20002_1619	DONE	
bursitis	frozen shoulder	EFO_1000941	Exact	20002_1620	DONE	
tennis elbow / lateral epicondylitis	lateral epicondylitis	EFO_1001896	Exact	20002_1623	DONE	
cellulitis	cellulitis	EFO_0003035	Exact	20002_1625	DONE	
fracture skull / head	skull fractures	EFO_1001425	Exact	20002_1626	DONE	
fracture radius	radius fracture	EFO_0003957	Exact	20002_1635	DONE	
fracture ulna	ulna fracture	EFO_0003950	Exact	20002_1636	DONE	
fracture tibia	tibia fracture	EFO_0003944	Exact	20002_1652	DONE	
septicaemia / sepsis	sepsis	HP_0100806	Exact	20002_1657	DONE	
meningioma / benign meningeal tumour	meningioma	Orphanet_2495	Exact	20002_1659	DONE	
rosacea	rosacea	EFO_1000760	Exact	20002_1660	DONE	
vitiligo	vitiligo	EFO_0004208	Exact	20002_1661	DONE	
cervical erosion	cervix erosion	EFO_1000862	Exact	20002_1662	DONE	
dysmenorrhoea / dysmenorrhea	dysmenorrhea	HP_0100607	Exact	20002_1664	DONE	
menopausal symptoms / menopause	menopause	EFO_0003922	Exact	20002_1665	DONE	
alopecia / hair loss	alopecia	Orphanet_79364	Exact	20002_1667	DONE	
scarlet fever / scarlatina	scarlet fever	EFO_0007477	Exact	20002_1677	DONE	
undescended testicle	cryptorchidism	EFO_0004562	Exact	20002_1679	DONE	
Hearing difficulty/problems: Yes	hearing loss	EFO_0004238	Exact	2247_1	DONE	
Comparative height size at age 10	body height	EFO_0004339	Broad	1697	DONE	
Miserableness	emotional symptom measurement	EFO_0007803	Broad	1930	DONE	
Sensitivity / hurt feelings	emotional symptom measurement	EFO_0007803	Broad	1950	DONE	
Fed-up feelings	emotional symptom measurement	EFO_0007803	Broad	1960	DONE	
Nervous feelings	emotional symptom measurement	EFO_0007803	Broad	1970	DONE	
Guilty feelings	emotional symptom measurement	EFO_0007803	Broad	2030	DONE	
Risk taking	behavioural disinhibition measurement	EFO_0006946	Broad	2040	DONE	
Overall health rating	self rated health	EFO_0004778	Exact	2178	DONE	
Number of live births	birth measurement	EFO_0006921	Broad	2734	DONE	
General pain for 3+ months	Chronic pain	HP_0012532	Exact	2956	DONE	
Chest pain or discomfort walking normally	chest pain	HP_0100749	Broad	3606	DONE	
Chest pain due to walking ceases when standing still	chest pain	HP_0100749	Broad	3616	DONE	
Chest pain or discomfort when walking uphill or hurrying	chest pain	HP_0100749	Broad	3751	DONE	
Knee pain for 3+ months	knee pain	HP_0030839	Broad	3773	DONE	
Number of spontaneous miscarriages	spontaneous abortion	EFO_1001255	Exact	3839	DONE	
Heel bone mineral density (BMD) T-score, automated (left)	bone density	EFO_0003923	Broad	4106	DONE	
Heel bone mineral density (BMD) T-score, automated (right)	bone density	EFO_0003923	Broad	4125	DONE	
Pulse wave reflection index	reflection wave amplitude	EFO_0009804	Exact	4195	DONE	
Family relationship satisfaction	wellbeing measurement  || family relaitonship	EFO_0007869, EFO_0004424	Broad	4559	DONE	
Maximum workload during fitness test	exercise test	EFO_0004328	Broad	6032	DONE	
Prospective memory result	episodic memory	EFO_0004333	Broad	20018	DONE	
Cough on most days	cough	HP_0012735	Exact	22502	DONE	
Years of cough on most days	cough	HP_0012735	Exact	22503	DONE	
liver/biliary/pancreas problem	liver disease  || biliary tract disease  || pancreas disease	EFO_0001421, EFO_0009534, EFO_0009605	Exact	20002_1136	DONE	
psychological/psychiatric problem	mental or behavioural disorder	EFO_0005407	?	20002_1243	DONE	
head injury	head injury	EFO_0009505	Exact	20002_1266	DONE	
gynaecological disorder (not cancer)	female reproductive system disease	EFO_0009549	Exact	20002_1348	DONE	
peripheral nerve injury	peripheral nerve injury	EFO_0009510	Exact	20002_1394	DONE	
fracture jaw	jaw fracture	EFO_0009612	Exact	20002_1627	DONE	
fracture nose	nose injury	EFO_0009623	Exact	20002_1628	DONE	
fracture face / orbit / eye socket	orbital fracture	EFO_0009611	Narrow	20002_1629	DONE	
fracture clavicle / collar bone	clavicle facture	EFO_0009614	Exact	20002_1631	DONE	
fracture shoulder / scapula	shoulder fracture	EFO_0009621	Exact	20002_1632	DONE	
fracture forearm / wrist	wrist fracture	EFO_0009515	Exact	20002_1634	DONE	
fracture wrist / colles fracture	wrist fracture	EFO_0009515	Exact	20002_1637	DONE	
fracture hand	hand fracture	NCIT_C27161	Exact	20002_1638	DONE	
fracture finger	finger fracture	EFO_0009616	Exact	20002_1639	DONE	
fracture thumb	finger fracture	EFO_0009616	Broad	20002_1640	DONE	
fracture rib	rib fracture	EFO_0009620	Exact	20002_1644	DONE	
fracture pelvis	facture of pelvis	EFO_0009622	Exact	20002_1647	DONE	
fracture neck of femur / hip	femur fracture  || hip fracture	EFO_0008553, EFO_0003964	Broad	20002_1648	DONE	
fracture shaft of femur	femur fracture	EFO_0008553	Broad	20002_1649	DONE	
fracture patella / knee	knee fracture	EFO_0009617	Exact	20002_1650	DONE	
fracture lower leg / ankle	ankle fracture  || lower extremity fracture	EFO_0009615, EFO_0009512	Exact	20002_1651	DONE	
fracture fibula	fibula fracture	EFO_0009613	Exact	20002_1653	DONE	
fracture foot	foot fracture	EFO_0009618	Exact	20002_1654	DONE	
fracture metatarsal	bone fracture	EFO_0003931	Broad	20002_1655	DONE	
fracture toe	foot fracture	EFO_0009618	Broad	20002_1656	DONE	
Hair/balding pattern: Pattern 2	androgenic alopecia  || balding measurement	EFO_0004191, EFO_0007825	Broad	2395_2	DONE	
Hair/balding pattern: Pattern 3	androgenic alopecia  || balding measurement	EFO_0004191, EFO_0007825	Broad	2395_3	DONE	
Hair/balding pattern: Pattern 4	androgenic alopecia  || balding measurement	EFO_0004191, EFO_0007825	Broad	2395_4	DONE	
Hand grip strength (left)	grip strength measurement	EFO_0006941	Exact	46	DONE	
Hand grip strength (right)	grip strength measurement	EFO_0006941	Exact	47	DONE	
Heel bone mineral density (BMD) T-score, automated	heel bone mineral density	EFO_0009270	Exact	78	DONE	
Age completed full time education	self reported educational attainment	EFO_0004784	Exact	845	DONE	
Daytime dozing / sleeping (narcolepsy)	excessive daytime sleepiness  || narcolepsy without cataplexy	EFO_0007875, EFO_0005855	Exact	1220	DONE	
Current tobacco smoking	smoking behavior	EFO_0004318	Broad	1239	DONE	
Past tobacco smoking	smoking cessation	EFO_0004319	Broad	1249	DONE	
Exposure to tobacco smoke at home	environmental tobacco smoke exposure measurement	EFO_0008361	Broad	1269	DONE	
Exposure to tobacco smoke outside home	environmental tobacco smoke exposure measurement	EFO_0008361	Broad	1279	DONE	
Worrier / anxious feelings	anxiety	EFO_0005230	Exact	1980	DONE	
Frequency of depressed mood in last 2 weeks	emotional symptom measurement	EFO_0007803	Broad	2050	DONE	
Frequency of unenthusiasm / disinterest in last 2 weeks	emotional symptom measurement	EFO_0007803	Broad	2060	DONE	
Diabetes diagnosed by doctor	diabetes mellitus	EFO_0000400	Exact	2443	DONE	
Cancer diagnosed by doctor	cancer	EFO_0000311	Exact	2453	DONE	
Fractured/broken bones in last 5 years	bone fracture	EFO_0003931	Exact	2463	DONE	
Ever had stillbirth, spontaneous miscarriage or termination	spontaneous abortion	EFO_1001255	Broad	2774	DONE	
Ever used hormone-replacement therapy (HRT)	hormone replacement therapy	EFO_0003961	Exact	2814	DONE	
Fracture resulting from simple fall	bone fracture	EFO_0003931	Broad	3005	DONE	
Facial pains for 3+ months	facial pain	EFO_0009625	Broad	4067	DONE	
Longest period of depression	depressive episode measurement	EFO_0007704	Exact	4609	DONE	
Number of depression episodes	depressive episode measurement	EFO_0007704	Exact	4620	DONE	
Longest period of unenthusiasm / disinterest	emotional symptom measurement	EFO_0007803	Broad	5375	DONE	
Mean time to correctly identify matches	reaction time measurement	EFO_0008393	Broad	20023	DONE	
Creatinine (enzymatic) in urine	creatine clearance measurement	EFO_0007934	Exact	30510	DONE	
Handedness (chirality/laterality): Left-handed	functional laterality	EFO_0003889	Broad	1707_2	DONE	
Handedness (chirality/laterality): Use both right and left hands equally	functional laterality	EFO_0003889	Broad	1707_3	DONE	
sarcoma/fibrosarcoma	sarcoma  || fibrosarcoma	EFO_0000691, EFO_0002087	Exact	20001_1068	DONE	
cin/pre-cancer cells cervix	dysplasia of cervix	EFO_1000910	Exact	20001_1072	DONE	
rodent ulcer	basal cell carcinoma	EFO_0004193	?	20001_1073	DONE	
heart valve problem/heart murmur	heart valve disease	EFO_0009551	Exact	20002_1078	DONE	
pericardial problem	pericarditis	EFO_0007427	Exact	20002_1080	DONE	
other respiratory problems	respiratory system disease	EFO_0000684	Exact	20002_1117	DONE	
oesophageal disorder	esophageal disease	EFO_0009544	Exact	20002_1134	DONE	
stomach disorder	stomach disease	EFO_0009608	Exact	20002_1135	DONE	
non-infective hepatitis	hepatitis	HP_0012115	Broad	20002_1157	DONE	
renal failure requiring dialysis	kidney failure	EFO_1002048	Broad	20002_1193	DONE	
renal failure not requiring dialysis	kidney failure	EFO_1002048	Broad	20002_1194	DONE	
parathyroid gland problem (not cancer)	parathyroid disease	EFO_0005754	Exact	20002_1229	DONE	
meningitis	infectious meningitis	EFO_0000584	?	20002_1247	DONE	
chronic/degenerative neurological problem	neurodegenerative disease	EFO_0005772	Exact	20002_1258	DONE	
anxiety/panic attacks	anxiety  || panic disorder	EFO_0005230, EFO_0004262	Exact	20002_1287	DONE	
muscle/soft tissue problem	soft tissue disease	EFO_0009470	Exact	20002_1297	DONE	
